basisofrec,catnum,classkey,coll_code,datasetkey,day,dec_lat,dec_long,familykey,gbifid,gbifurl,genuskey,geomwkt,inst_code,kingdomkey,localid,month,occurid,orderkey,phylumkey,provider,puborgkey,rec_by,sciname,specieskey,taxonkey,year
HUMAN_OBSERVATION,2297,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.86667,1.18333,3346,225876393,http://www.gbif.org/occurrence/225876393,1650098,POINT (1.18333 6.86667),NICD,1,812,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1971
HUMAN_OBSERVATION,2298,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,7.18333,1.13333,3346,225876394,http://www.gbif.org/occurrence/225876394,1650098,POINT (1.13333 7.18333),NICD,1,813,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1968
HUMAN_OBSERVATION,2299,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.2,1.53333,3346,225876395,http://www.gbif.org/occurrence/225876395,1650098,POINT (1.53333 6.2),NICD,1,814,10,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1964
HUMAN_OBSERVATION,2300,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.2,1.53333,3346,225876396,http://www.gbif.org/occurrence/225876396,1650098,POINT (1.53333 6.2),NICD,1,815,5,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1965
HUMAN_OBSERVATION,2307,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,7.63333,0.93333,3346,225876397,http://www.gbif.org/occurrence/225876397,1650098,POINT (0.93333 7.63333),NICD,1,816,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1968
HUMAN_OBSERVATION,2308,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,10.73333,0.38333,3346,225876398,http://www.gbif.org/occurrence/225876398,1650098,POINT (0.38333 10.73333),NICD,1,817,6,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2309,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,10.5,0.5,3346,225876399,http://www.gbif.org/occurrence/225876399,1650098,POINT (0.5 10.5),NICD,1,818,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2310,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.56667,0.9,3346,225876400,http://www.gbif.org/occurrence/225876400,1650098,POINT (0.9 6.56667),NICD,1,819,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1971
HUMAN_OBSERVATION,2311,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.25,1.5,3346,225876401,http://www.gbif.org/occurrence/225876401,1650098,POINT (1.5 6.25),NICD,1,820,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1969
HUMAN_OBSERVATION,2312,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.25,1.5,3346,225876402,http://www.gbif.org/occurrence/225876402,1650098,POINT (1.5 6.25),NICD,1,821,7,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1969
HUMAN_OBSERVATION,2313,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,6.23333,1.51667,3346,225876403,http://www.gbif.org/occurrence/225876403,1650098,POINT (1.51667 6.23333),NICD,1,822,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,0
HUMAN_OBSERVATION,2315,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,2.7,32.83333,3346,225876404,http://www.gbif.org/occurrence/225876404,1650098,POINT (32.83333 2.7),NICD,1,823,9,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1970
HUMAN_OBSERVATION,2316,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.66667,30.13333,3346,225876405,http://www.gbif.org/occurrence/225876405,1650098,POINT (30.13333 0.66667),NICD,1,824,12,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1970
HUMAN_OBSERVATION,2324,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.8,30.18333,3346,225876406,http://www.gbif.org/occurrence/225876406,1650098,POINT (30.18333 0.8),NICD,1,825,2,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1964
HUMAN_OBSERVATION,2325,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.8,30.18333,3346,225876407,http://www.gbif.org/occurrence/225876407,1650098,POINT (30.18333 0.8),NICD,1,826,8,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1971
HUMAN_OBSERVATION,2326,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.8,30.18333,3346,225876408,http://www.gbif.org/occurrence/225876408,1650098,POINT (30.18333 0.8),NICD,1,827,12,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1970
HUMAN_OBSERVATION,2327,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.8,30.18333,3346,225876409,http://www.gbif.org/occurrence/225876409,1650098,POINT (30.18333 0.8),NICD,1,828,5,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
HUMAN_OBSERVATION,2329,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-0.13333,29.88333,3346,225876410,http://www.gbif.org/occurrence/225876410,1650098,POINT (29.88333 -0.13333),NICD,1,829,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,0
HUMAN_OBSERVATION,2331,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.9,30.23333,3346,225876411,http://www.gbif.org/occurrence/225876411,1650098,POINT (30.23333 0.9),NICD,1,830,5,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
HUMAN_OBSERVATION,2333,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-0.63333,31.56667,3346,225876412,http://www.gbif.org/occurrence/225876412,1650098,POINT (31.56667 -0.63333),NICD,1,831,12,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1963
HUMAN_OBSERVATION,2334,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,0.83333,33.08333,3346,225876413,http://www.gbif.org/occurrence/225876413,1650098,POINT (33.08333 0.83333),NICD,1,832,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2335,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,1.1,33.41667,3346,225876414,http://www.gbif.org/occurrence/225876414,1650098,POINT (33.41667 1.1),NICD,1,833,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1966
HUMAN_OBSERVATION,2380,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.05,28.8333,3346,225876415,http://www.gbif.org/occurrence/225876415,1650098,POINT (28.8333 -16.05),NICD,1,834,2,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1963
HUMAN_OBSERVATION,2381,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.05,28.8333,3346,225876416,http://www.gbif.org/occurrence/225876416,1650098,POINT (28.8333 -16.05),NICD,1,835,12,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1962
HUMAN_OBSERVATION,2382,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.05,28.8333,3346,225876417,http://www.gbif.org/occurrence/225876417,1650098,POINT (28.8333 -16.05),NICD,1,836,2,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1963
HUMAN_OBSERVATION,2383,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.05,28.8333,3346,225876418,http://www.gbif.org/occurrence/225876418,1650098,POINT (28.8333 -16.05),NICD,1,837,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1964
HUMAN_OBSERVATION,2384,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.05,28.8333,3346,225876419,http://www.gbif.org/occurrence/225876419,1650098,POINT (28.8333 -16.05),NICD,1,838,4,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1964
HUMAN_OBSERVATION,2403,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-21.41667,31.66667,3346,225876420,http://www.gbif.org/occurrence/225876420,1650098,POINT (31.66667 -21.41667),NICD,1,839,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1974
HUMAN_OBSERVATION,2466,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-21.28333,31.91667,3346,225876421,http://www.gbif.org/occurrence/225876421,1650098,POINT (31.91667 -21.28333),NICD,1,840,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1975
HUMAN_OBSERVATION,2490,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-15.66667,30.33333,3346,225876422,http://www.gbif.org/occurrence/225876422,1650098,POINT (30.33333 -15.66667),NICD,1,841,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1975
